path,bpm,rms,centroid,score,tier
99_Archive/clean/Dave Robertson _– Addiction [Cuba Recordings].wav,129.2,0.14656,3050.6,0.425,3
99_Archive/clean/Datura Ft Billie Ray Martin - Mystic Motion (Matt Craig & Paul Sirrell's Speed Garage Mix).wav,64.6,0.19282,3034.1,0.2753,2
99_Archive/clean/Dancing In The Moonlight (LOWEY Afters Edit).wav,66.26,0.26964,3184.3,0.4627,3
99_Archive/clean/David Brown - Feel Love (Sherman Rogers Undergouund Mix).wav,129.2,0.09931,3388.8,0.4217,3
99_Archive/clean/David Guetta - Memories (JIPX2 Remix).wav,129.2,0.17531,3410.5,0.5024,3
99_Archive/clean/DBX - join hands (awol 8).wav,136.0,0.07117,2963.0,0.4813,3
99_Archive/clean/Delfonic - Spacer (delfonic edit).wav,136.0,0.15732,2419.4,0.4888,3
99_Archive/clean/Doctor Pressure (JME Hard Edit) [Master].mp3,143.55,0.25119,2330.1,0.706,4
99_Archive/clean/Dennis Quin - Move Your Body (Dennis Quin Rework Series).wav,129.2,0.17952,4089.3,0.5349,3
99_Archive/clean/Donell Jones - U Know What's Up (Eli Samuel Edit) [SS MSTRD].mp3,129.2,0.28768,2445.2,0.6389,4
99_Archive/clean/DRAKE POUNDCAKE (ALTO EDIT).mp3,123.05,0.30632,2655.1,0.5476,3
99_Archive/clean/Diana Ross - It's my house (Jared Rework)- (master).wav,123.05,0.21112,3038.2,0.405,3
99_Archive/clean/DIMMISH - Yoshi (Original Mix).wav,129.2,0.26152,3473.0,0.6935,4
99_Archive/clean/Egypt [LNTG Epic Remix].mp3,112.35,0.07712,2669.1,0.1735,1
99_Archive/clean/DJ Marky & XRS - LK (Sean Guillermo Edit).wav,136.0,0.1564,3587.0,0.5972,3
99_Archive/clean/Divaaa.wav,129.2,0.24094,1349.5,0.477,3
99_Archive/clean/Dunkz - Don't Call Me That.wav,63.02,0.2878,2882.9,0.4541,3
99_Archive/clean/Dyl Poole - Half Step.wav,129.2,0.2053,3651.6,0.5752,3
99_Archive/clean/Dr Watson - Double 99 R.I.P Groove 2020 Refix - Dr Watson.wav,136.0,0.11866,2369.1,0.4481,3
99_Archive/clean/Eden Burns - The Year 2000.wav,123.05,0.20217,3371.6,0.4193,3
99_Archive/clean/Farlee - Tryna Be (edit).mp3,66.26,0.14394,3223.3,0.2223,2
99_Archive/clean/Elissa Suckdog - History Will Condemn Me.wav,129.2,0.17678,2875.4,0.4503,3
99_Archive/clean/Fatboy Slim - Praise You (Ssero Edit).mp3,129.2,0.22661,3054.2,0.5787,3
99_Archive/clean/Elissa Suckdog - Naydras Groove.wav,129.2,0.24277,1751.6,0.4964,3
99_Archive/clean/Emily Nash - Sun Dont Shine (EDIT).wav,129.2,0.26318,2378.1,0.5919,3
99_Archive/clean/Espace Noir - The Saddle Club Vol. 1 - 03 Reflex Blue - Floating Down Stream -Virtual Mix-.wav,129.2,0.19894,1821.6,0.4056,3
99_Archive/clean/Feel Love (Jays Groover).mp3,117.45,0.14785,1287.4,0.1412,1
99_Archive/clean/eMastered_Miami TEST_HD.wav,129.2,0.15333,2811.8,0.4093,3
99_Archive/clean/Emi Koto - Everybody Dance! [Toscal Records].wav,129.2,0.07796,2186.4,0.2974,2
99_Archive/clean/Extreme Fly - Everybody(After Club Mix).wav,129.2,0.07119,1976.6,0.2799,2
99_Archive/clean/Facu Baez - Ms Fat Booty.wav,129.2,0.20188,1689.8,0.4068,3
99_Archive/clean/Feel Good Inc. (Jimi's Club Tool)_1644 RS ANA.wav,129.2,0.17205,2650.4,0.4236,3
99_Archive/clean/Felon 5 - Groove Connection.wav,129.2,0.11121,1248.0,0.2694,2
99_Archive/clean/Felon 5 - IREE STYLE.wav,129.2,0.11481,2376.9,0.3348,2
99_Archive/clean/garage beast.wav,89.1,0.11061,2743.5,0.1741,1
99_Archive/clean/Felon5 - Groove Connection [Felon5 Records].wav,129.2,0.06618,1071.3,0.2443,2
99_Archive/clean/Unknown Artist _– Reckless Eyes [Digwah].wav,123.05,0.19222,1574.3,0.2462,2
99_Archive/clean/FINKY - The Boy Is Mine Edit (LR MASTER) 2.wav,129.2,0.1452,1399.6,0.301,2
99_Archive/clean/Unknown Artist _– Wanna Get [DSO].wav,117.45,0.16888,3161.3,0.3136,2
99_Archive/clean/Unknown Artist _– Untitled A1 [Telum] 005.wav,129.2,0.1602,1168.2,0.315,2
99_Archive/clean/Unknown Artist - Dg [Sanguina Records].wav,123.05,0.1257,3402.6,0.309,2
99_Archive/clean/Unknown Artist - Kcik 27 - 02 Kcik 27-B.wav,129.2,0.16375,2338.9,0.3809,2
99_Archive/clean/Unknown Edit 01.mp3,129.2,0.08131,3029.2,0.3826,2
99_Archive/clean/Unknown Artist - Hosrs [Lode Records].wav,123.05,0.09869,2467.9,0.1931,1
99_Archive/clean/Unknown Artist - Mystery Of Love Re-Vision [Pirka].wav,129.2,0.15276,1708.5,0.3227,2
99_Archive/clean/Unknown Artist - Patron [No Art No Name].wav,123.05,0.16954,3056.6,0.326,2
99_Archive/clean/Unknown Artist - Pete [Florence Records].wav,123.05,0.20191,2461.8,0.3255,2
99_Archive/clean/Unknown Artist - Untitled A [EEE012].wav,123.05,0.17826,2745.4,0.3073,2
99_Archive/clean/Unknown_Artist_–_Spirit_Of_Desire_Not_On_Label_Womack_&_Womack_DIGWAH.wav,83.35,0.17152,1713.0,0.1379,1
99_Archive/clean/Untitled - Matty Pearce.wav,129.2,0.19,3158.5,0.5167,3
99_Archive/clean/various artists - a man called adam - superman (sebasstian edit) - free download.wav,123.05,0.20934,2587.4,0.3538,2
99_Archive/clean/Urban Heads - The Wind (Cosmic Version).wav,129.2,0.10934,2699.5,0.3632,2
99_Archive/clean/Urban Heads - The Wind (Space Mix).wav,129.2,0.12102,3261.5,0.4338,3
99_Archive/clean/Various ORCHID RECORDS - -CAUSE I NEED YOU- HOUZMON.wav,129.2,0.08723,2597.1,0.3404,2
99_Archive/clean/Various ORCHID RECORDS - -IT'S YOU- HOUZMON.wav,129.2,0.07613,2873.6,0.3637,2
99_Archive/clean/Wait a minute - cssa.wav,129.2,0.28097,2973.9,0.687,4
99_Archive/clean/Watchers - Obsession.wav,129.2,0.1903,3355.8,0.537,3
"99_Archive/clean/Waypoint, Zerophane extended.wav",129.2,0.12269,2848.3,0.3903,2
99_Archive/clean/What I Dream Edit.wav,66.26,0.19565,3207.8,0.3045,2
99_Archive/clean/Xpansions - Move Your Body (Finn Eden Speedy G Edit) V6 MSTR.mp3,66.26,0.27773,2954.3,0.4491,3
99_Archive/clean/You Don't Know Me (Mistrix Edit) [Marshy Master].mp3,123.05,0.09538,3639.3,0.3024,2
99_Archive/clean/Zig Zag (Original Mix).mp3,129.2,0.29532,3689.0,0.7705,4
"99_Archive/clean/Woody,_S_A_M_–_You_Must_Be_Trippin_Alternative_Mix_heidegluehen_.wav",123.05,0.1822,1633.6,0.2292,2
99_Archive/clean/White ghost.wav,123.05,0.15504,4746.8,0.3656,2
99_Archive/clean/2D Music (Original Mix).mp3,123.05,0.24883,2637.8,0.4485,3
99_Archive/clean/Bass Flip (Original Mix).mp3,129.2,0.26647,3048.4,0.6714,4
99_Archive/clean/Acapulco (Original Mix).mp3,136.0,0.18272,2474.6,0.5361,3
99_Archive/clean/Willow Smith - Wait a minute (ANDREW CAIRNS Edit) [HZRX].wav,129.2,0.2074,2784.6,0.5098,3
99_Archive/clean/Damage (Original Mix).mp3,129.2,0.13726,4457.0,0.4904,3
99_Archive/clean/Wu-Tang Clan - Gravel Pit (Verso Edit)(Master).wav,129.2,0.21713,3025.8,0.5582,3
99_Archive/clean/you're dancin' kinda close.wav,129.2,0.24047,2195.6,0.5299,3
99_Archive/clean/Everybody Hz (Original Mix).mp3,129.2,0.18448,3050.2,0.4938,3
99_Archive/clean/Eyes On You (Original Mix).mp3,64.6,0.2429,3062.1,0.3868,2
99_Archive/clean/Focus Beam (Original Mix).mp3,66.26,0.25987,2167.7,0.3418,2
99_Archive/clean/Front2Back (Original Mix).mp3,129.2,0.22727,2558.1,0.5354,3
